plate_well	sample	qubit_date	concentration-ng.uL	target-rna-in-rxn.ng	actual-rna-in-rxn.ng	vol-RNA-to-actual.uL	vol_0.5.ug-dT_primers_0.5.uL	primer_denature_vol.uL	vol_h2o_to_denature-vol.uL	vol_5x_rxn_buffer.uL	vol_25mM_MgCl2.ul	vol_10mM_dNTPs.uL	vol_RNasin.uL	vol_GoScript-RT.uL	vol_h2o_to_final-vol.uL	vol_final.uL
C4	250	2024-06-24_113250	77.8	200	200.00	2.57	1	10	6.43	8	2.4	2	1.25	2	14.35	40
C5	252	2024-06-24_113250	80.2	200	200.00	2.49	1	10	6.51	8	2.4	2	1.25	2	14.35	40
C6	258	2024-06-24_113250	116	200	200.00	1.72	1	10	7.28	8	2.4	2	1.25	2	14.35	40
C7	263	2024-06-24_113250	100	200	200.00	2.00	1	10	7.00	8	2.4	2	1.25	2	14.35	40
C8	268	2024-06-24_113250	87.6	200	200.00	2.28	1	10	6.72	8	2.4	2	1.25	2	14.35	40
C9	270	2024-06-25_115000	200	200	200.00	1.00	1	10	8.00	8	2.4	2	1.25	2	14.35	40
C10	271	2024-06-25_115000	66.2	200	200.00	3.02	1	10	5.98	8	2.4	2	1.25	2	14.35	40
C11	272	2024-06-25_115000	72.8	200	200.00	2.75	1	10	6.25	8	2.4	2	1.25	2	14.35	40
C12	273	2024-06-25_115000	198	200	200.00	1.01	1	10	7.99	8	2.4	2	1.25	2	14.35	40
D1	275	2024-06-25_115000	150	200	200.00	1.33	1	10	7.67	8	2.4	2	1.25	2	14.35	40
D2	276	2024-06-25_115000	65	200	200.00	3.08	1	10	5.92	8	2.4	2	1.25	2	14.35	40
D3	277	2024-06-25_115000	184	200	200.00	1.09	1	10	7.91	8	2.4	2	1.25	2	14.35	40
D4	279	2024-06-25_115000	146	200	200.00	1.37	1	10	7.63	8	2.4	2	1.25	2	14.35	40
D5	280	2024-06-26_115252	150	200	200.00	1.33	1	10	7.67	8	2.4	2	1.25	2	14.35	40
D6	287	2024-06-26_115252	15.5	200	139.50	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
D7	290	2024-06-26_115252	47	200	200.00	4.26	1	10	4.74	8	2.4	2	1.25	2	14.35	40
D8	291	2024-06-26_115252	39.2	200	200.00	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
D9	293	2024-06-26_115252	140	200	200.00	1.43	1	10	7.57	8	2.4	2	1.25	2	14.35	40
D10	294	2024-06-26_115252	180	200	200.00	1.11	1	10	7.89	8	2.4	2	1.25	2	14.35	40
D11	295	2024-06-26_115252	196	200	200.00	1.02	1	10	7.98	8	2.4	2	1.25	2	14.35	40
D12	297	2024-06-26_115252	156	200	200.00	1.28	1	10	7.72	8	2.4	2	1.25	2	14.35	40
E1	301	2024-06-27_113103	134	200	200.00	1.49	1	10	7.51	8	2.4	2	1.25	2	14.35	40
E2	302	2024-06-27_113103	198	200	200.00	1.01	1	10	7.99	8	2.4	2	1.25	2	14.35	40
E3	306	2024-06-27_113103	162	200	200.00	1.23	1	10	7.77	8	2.4	2	1.25	2	14.35	40
E4	310	2024-06-27_113103	160	200	200.00	1.25	1	10	7.75	8	2.4	2	1.25	2	14.35	40
E5	311	2024-06-27_113103	88.6	200	200.00	2.26	1	10	6.74	8	2.4	2	1.25	2	14.35	40
E6	316	2024-06-27_113103	200	200	200.00	1.00	1	10	8.00	8	2.4	2	1.25	2	14.35	40
E7	317	2024-06-27_113103	112	200	200.00	1.79	1	10	7.21	8	2.4	2	1.25	2	14.35	40
E8	318	2024-06-27_113103	106	200	200.00	1.89	1	10	7.11	8	2.4	2	1.25	2	14.35	40
E9	324	2024-06-28_101949	192	200	200.00	1.04	1	10	7.96	8	2.4	2	1.25	2	14.35	40
E10	326	2024-06-28_101949	172	200	200.00	1.16	1	10	7.84	8	2.4	2	1.25	2	14.35	40
E11	334	2024-06-28_101949	124	200	200.00	1.61	1	10	7.39	8	2.4	2	1.25	2	14.35	40
E12	341	2024-06-28_101949	200	200	200.00	1.00	1	10	8.00	8	2.4	2	1.25	2	14.35	40
F1	343	2024-06-28_101949	142	200	200.00	1.41	1	10	7.59	8	2.4	2	1.25	2	14.35	40
F2	344	2024-06-28_101949	200	200	200.00	1.00	1	10	8.00	8	2.4	2	1.25	2	14.35	40
F3	346	2024-06-28_101949	91.2	200	200.00	2.19	1	10	6.81	8	2.4	2	1.25	2	14.35	40
F4	349	2024-06-28_101949	146	200	200.00	1.37	1	10	7.63	8	2.4	2	1.25	2	14.35	40
F5	351	2024-06-28_101949	77.6	200	200.00	2.58	1	10	6.42	8	2.4	2	1.25	2	14.35	40
F6	353	2024-06-28_101949	75.6	200	200.00	2.65	1	10	6.35	8	2.4	2	1.25	2	14.35	40
F7	355	2024-06-28_101949	124	200	200.00	1.61	1	10	7.39	8	2.4	2	1.25	2	14.35	40
F8	357	2024-06-28_101949	85.8	200	200.00	2.33	1	10	6.67	8	2.4	2	1.25	2	14.35	40
F9	360	2024-06-28_101949	66.8	200	200.00	2.99	1	10	6.01	8	2.4	2	1.25	2	14.35	40
F10	361	2024-06-28_101949	40.6	200	200.00	4.93	1	10	4.07	8	2.4	2	1.25	2	14.35	40
F11	364	2024-06-28_101949	55.6	200	200.00	3.60	1	10	5.40	8	2.4	2	1.25	2	14.35	40
F12	371	2024-06-28_101949	6.56	200	59.04	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
G1	374	2024-07-01_080225	130	200	200.00	1.54	1	10	7.46	8	2.4	2	1.25	2	14.35	40
G2	378	2024-07-01_080225	104	200	200.00	1.92	1	10	7.08	8	2.4	2	1.25	2	14.35	40
G3	381	2024-07-01_080225	136	200	200.00	1.47	1	10	7.53	8	2.4	2	1.25	2	14.35	40
G4	386	2024-07-01_080225	162	200	200.00	1.23	1	10	7.77	8	2.4	2	1.25	2	14.35	40
G5	392	2024-07-01_080225	182	200	200.00	1.10	1	10	7.90	8	2.4	2	1.25	2	14.35	40
G6	394	2024-07-01_080225	128	200	200.00	1.56	1	10	7.44	8	2.4	2	1.25	2	14.35	40
G7	395	2024-07-01_080225	108	200	200.00	1.85	1	10	7.15	8	2.4	2	1.25	2	14.35	40
																
																
																
	MMLV_master_mix	vol_single rxn	number of reactions	vol_total(uL)												
	5x_rxn_buffer	8	90	720												
	MgCl2	2.4	90	216												
	10mM_dNTPs	2	90	180												
	RNasin	1.25	90	112.5												
	GoScript RT	2	90	180												
	H2O	14.35	90	1291.5												
	SUM	30		2700		30										
				Add 30uL to each sample.												
