life-stage,tag,init-t-group,sec-t-group,label,length (mm) (11/21),,,,num,mantle?,notes,weight of sample before cutting,weight after cutting,rna-date,qbit concentration (ng/µL),qbit-date,RT?,qPCR?
adult,toad,treatment,treament,422-10,50,4,2,2,10,,,,,,,,,
adult,toad,treatment,treament,422-10m,50,4,2,2,10,m,,,,,,,,
adult,toad,treatment,treament,422-11,65,4,2,2,11,,,,,,,,,
adult,toad,treatment,treament,422-11m,65,4,2,2,11,m,,,,,,,,
adult,toad,treatment,treament,422-12,60,4,2,2,12,,,,,,,,,
adult,toad,treatment,treament,422-12m,60,4,2,2,12,m,,,,,,,,
adult,toad,treatment,treament,422-13,66,4,2,2,13,,,,,,,,,
adult,toad,treatment,treament,422-13m,66,4,2,2,13,m,,,,,,,,
adult,toad,treatment,treament,422-14,57,4,2,2,14,,,,,,,,,
adult,toad,treatment,treament,422-14m,57,4,2,2,14,m,,,,,,,,
adult,toad,treatment,treament,422-15,51,4,2,2,15,,,,,,,,,
adult,toad,treatment,treament,422-15m,51,4,2,2,15,m,,,,,,,,
adult,yellow,control,control,431-01,62,4,3,1,1,,,,,,,,,
adult,yellow,control,control,431-01m,62,4,3,1,1,m,,,,,,,,
adult,yellow,control,control,431-02,67,4,3,1,2,,,,,,,,,
adult,yellow,control,control,431-02m,67,4,3,1,2,m,,,,,,,,
adult,yellow,control,control,431-03,68,4,3,1,3,,,,,,,,,
adult,yellow,control,control,431-03m,68,4,3,1,3,m,,,,,,,,
adult,yellow,control,control,431-04,56,4,3,1,4,,,,,,,,,
adult,yellow,control,control,431-04m,56,4,3,1,4,m,,,,,,,,
adult,yellow,control,control,431-05,73,4,3,1,5,,,,,,,,,
adult,yellow,control,control,431-05m,73,4,3,1,5,m,,,,,,,,
adult,yellow,control,control,431-06,70,4,3,1,6,,,,,,,,,
adult,yellow,control,control,431-06m,70,4,3,1,6,m,,,,,,,,
adult,yellow,control,control,431-07,60,4,3,1,7,,,,,,,,,
adult,yellow,control,control,431-07m,60,4,3,1,7,m,,,,,,,,
adult,yellow,control,treament,431-08,54,4,3,1,8,,,,,,,,,
adult,yellow,control,treament,431-08m,54,4,3,1,8,m,,,,,,,,
adult,yellow,control,treament,431-09,66,4,3,1,9,,,,,,,,,
adult,yellow,control,treament,431-09m,66,4,3,1,9,m,,,,,,,,
adult,yellow,control,treament,431-10,61,4,3,1,10,,,,,,,,,
adult,yellow,control,treament,431-10m,61,4,3,1,10,m,,,,,,,,
adult,yellow,control,treament,431-11,60,4,3,1,11,,,,,,,,,
adult,yellow,control,treament,431-11m,60,4,3,1,11,m,,,,,,,,
adult,yellow,control,treament,431-12,70,4,3,1,12,,,,,,,,,
adult,yellow,control,treament,431-12m,70,4,3,1,12,m,,,,,,,,
adult,yellow,control,treament,431-13,60,4,3,1,13,,,,,,,,,
adult,yellow,control,treament,431-13m,60,4,3,1,13,m,,,,,,,,
adult,yellow,control,treament,431-14,70,4,3,1,14,,,,,,,,,
adult,yellow,control,treament,431-14m,70,4,3,1,14,m,,,,,,,,
adult,yellow,control,treament,431-15,76,4,3,1,15,,,,,,,,,
adult,yellow,control,treament,431-15m,76,4,3,1,15,m,,,,,,,,
adult,yellow,treatment,control,432-01,56,4,3,2,1,,,,,,,,,
adult,yellow,treatment,control,432-01m,56,4,3,2,1,m,,,,,,,,
adult,yellow,treatment,control,432-02,51,4,3,2,2,,,,,,,,,
adult,yellow,treatment,control,432-02m,51,4,3,2,2,m,,,,,,,,
adult,yellow,treatment,control,432-03,46,4,3,2,3,,,,,,,,,
adult,yellow,treatment,control,432-03m,46,4,3,2,3,m,,,,,,,,
adult,yellow,treatment,control,432-04,57,4,3,2,4,,,,,,,,,
adult,yellow,treatment,control,432-04m,57,4,3,2,4,m,,,,,,,,
adult,yellow,treatment,control,432-05,51,4,3,2,5,,,,,,,,,
adult,yellow,treatment,control,432-05m,51,4,3,2,5,m,,,,,,,,
adult,yellow,treatment,control,432-06,70,4,3,2,6,,,,,,,,,
adult,yellow,treatment,control,432-07,69,4,3,2,7,,,,,,,,,
adult,yellow,treatment,control,432-07m,69,4,3,2,7,m,,,,,,,,
adult,yellow,treatment,treament,432-08,72,4,3,2,8,,,,,,,,,
adult,yellow,treatment,treament,432-08m,72,4,3,2,8,m,,,,,,,,
adult,yellow,treatment,treament,432-09,77,4,3,2,9,,,,,,,,,
adult,yellow,treatment,treament,432-09m,77,4,3,2,9,m,,,,,,,,
adult,yellow,treatment,treament,432-10,74,4,3,2,10,,,,,,,,,
adult,yellow,treatment,treament,432-10m,74,4,3,2,10,m,,,,,,,,
adult,yellow,treatment,treament,432-11,67,4,3,2,11,,,,,,,,,
adult,yellow,treatment,treament,432-11m,67,4,3,2,11,m,,,,,,,,
adult,yellow,treatment,treament,432-12,44,4,3,2,12,,,,,,,,,
adult,yellow,treatment,treament,432-12m,44,4,3,2,12,m,,,,,,,,
adult,yellow,treatment,treament,432-13,51,4,3,2,13,,,,,,,,,
adult,yellow,treatment,treament,432-13m,51,4,3,2,13,m,,,,,,,,
adult,yellow,treatment,treament,432-14,52,4,3,2,14,,,,,,,,,
adult,yellow,treatment,treament,432-14m,52,4,3,2,14,m,,,,,,,,
adult,yellow,treatment,treament,432-15,59,4,3,2,15,,,,,,,,,
adult,yellow,treatment,treament,432-15m,59,4,3,2,15,m,,,,,,,,
adult,cat,control,control,441-01,90,4,4,1,1,,,,,,,,,
adult,cat,control,control,441-01m,90,4,4,1,1,m,,,,,,,,
adult,cat,control,control,441-02,78,4,4,1,2,,,,,,,,,
adult,cat,control,control,441-02m,78,4,4,1,2,m,,,,,,,,
adult,cat,control,control,441-03,101,4,4,1,3,,,,,,,,,
adult,cat,control,control,441-03m,101,4,4,1,3,m,,,,,,,,
adult,cat,control,control,441-04,90,4,4,1,4,,,,,,,,,
adult,cat,control,control,441-04m,90,4,4,1,4,m,,,,,,,,
adult,cat,control,control,441-05,65,4,4,1,5,,,,,,,,,
adult,cat,control,control,441-05m,65,4,4,1,5,m,,,,,,,,
adult,cat,control,control,441-06,85,4,4,1,6,,,,,,,,,
adult,cat,control,control,441-06m,85,4,4,1,6,m,,,,,,,,
adult,cat,control,control,441-07,73,4,4,1,7,,,,,,,,,
adult,cat,control,control,441-07m,73,4,4,1,7,m,,,,,,,,
adult,cat,control,treament,441-08,73,4,4,1,8,,NOTE: this group started spawning in the second stress,,,,,,,
adult,cat,control,treament,441-08m,73,4,4,1,8,m,,,,,,,,
adult,cat,control,treament,441-09,68,4,4,1,9,,,,,,,,,
adult,cat,control,treament,441-09m,68,4,4,1,9,m,,,,,,,,
adult,cat,control,treament,441-10,86,4,4,1,10,,,,,,,,,
adult,cat,control,treament,441-10m,86,4,4,1,10,m,,,,,,,,
adult,cat,control,treament,441-11,78,4,4,1,11,,,,,,,,,
adult,cat,control,treament,441-11m,78,4,4,1,11,m,,,,,,,,
adult,cat,control,treament,441-12,95,4,4,1,12,,,,,,,,,
adult,cat,control,treament,441-12m,95,4,4,1,12,m,,,,,,,,
adult,cat,control,treament,441-13,78,4,4,1,13,,,,,,,,,
adult,cat,control,treament,441-14,66,4,4,1,14,,,,,,,,,
adult,cat,control,treament,441-14m,66,4,4,1,14,m,,,,,,,,
adult,cat,control,treament,441-15,66,4,4,1,15,,,,,,,,,
adult,cat,control,treament,441-15m,66,4,4,1,15,m,,,,,,,,
adult,cat,treatment,control,442-01,94,4,4,2,1,,,,,,,,,
adult,cat,treatment,control,442-01m,94,4,4,2,1,m,,,,,,,,
adult,cat,treatment,control,442-02,77,4,4,2,2,,,,,,,,,
adult,cat,treatment,control,442-02m,77,4,4,2,2,m,,,,,,,,
adult,cat,treatment,control,442-03,90,4,4,2,3,,,,,,,,,
adult,cat,treatment,control,442-03m,90,4,4,2,3,m,,,,,,,,
adult,cat,treatment,control,442-04,97,4,4,2,4,,,,,,,,,
adult,cat,treatment,control,442-04m,97,4,4,2,4,m,,,,,,,,
adult,cat,treatment,control,442-05m,80,4,4,2,5,m,,,,,,,,
adult,cat,treatment,treament,442-06,90,4,4,2,6,,,,,,,,,
adult,cat,treatment,treament,442-06m,90,4,4,2,6,m,,,,,,,,
adult,cat,treatment,treament,442-07,66,4,4,2,7,,,,,,,,,
adult,cat,treatment,treament,442-07m,66,4,4,2,7,m,,,,,,,,
adult,cat,treatment,treament,442-08,83,4,4,2,8,,,,,,,,,
adult,cat,treatment,treament,442-08m,83,4,4,2,8,m,,,,,,,,
adult,cat,treatment,treament,442-09,95,4,4,2,9,,,,,,,,,
adult,cat,treatment,treament,442-09m,95,4,4,2,9,m,,,,,,,,
adult,cat,treatment,treament,442-10,93,4,4,2,10,,NOTE: 11-15 not in use,,,,,,,
adult,cat,treatment,treament,442-10m,93,4,4,2,10,m,,,,,,,,
