tube_ID,tag_tank,lifestage,conditioning_treatment,acute_treatment,preservation_method,freezer,notes,rna-concentration(ng/uL),rna-iso.date,rna-iso.initials,rna-iso.notebook,rna-quant.date,rna-quant.initials,rna-quant.notebook
38,left-spat,spat,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
39,right-juvenile,juvenile,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
40,right-seed,seed,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
42,right-seed,seed,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
43,right-juvenile,juvenile,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
46,left-spat,spat,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
47,left-spat,spat,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
48,left-seed,seed,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
49,right-juvenile,juvenile,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
50,left-spat,spat,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
52,right-spat ,spat,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
53,left-juvenile,juvenile,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
55,right-seed,seed,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
57,right-juvenile,juvenile,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
59,right-seed,seed,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
60,right-seed,seed,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
61,left-juvenile,juvenile,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
62,right-seed,seed,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
63,right-seed,seed,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
64,left-juvenile,juvenile,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
65,right-juvenile,juvenile,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
66,left-seed,seed,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
69,right-seed,seed,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
71,right-juvenile,juvenile,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
72,left-seed,seed,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
73,left-juvenile,juvenile,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
74,right-spat ,spat,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
75,right-juvenile,juvenile,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
76,left-spat,spat,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
77,right-spat ,spat,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
78,left-spat,spat,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
79,right-juvenile,juvenile,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
81,left-juvenile,juvenile,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
83,left-juvenile,juvenile,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
86,right-seed,seed,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
88,left-seed,seed,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
89,left-seed,seed,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
92,left-seed,seed,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
93,right-spat ,spat,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
96,right-spat ,spat,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
97,right-spat ,spat,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
98,left-juvenile,juvenile,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
